iter	Passed	Remaining
408	3924	5670
409	3929	5655
410	3935	5640
411	3941	5625
412	3947	5610
413	3953	5595
414	3959	5581
415	3965	5566
416	3971	5551
417	3976	5536
418	3983	5523
419	3988	5508
420	3994	5493
421	4000	5478
422	4005	5464
423	4011	5450
424	4017	5435
425	4023	5421
426	4029	5406
427	4035	5393
428	4041	5379
429	4047	5365
430	4053	5351
431	4059	5337
432	4065	5323
433	4071	5310
434	4077	5295
435	4083	5282
436	4089	5268
437	4095	5254
438	4101	5241
439	4107	5227
440	4113	5213
441	4118	5199
442	4124	5186
443	4130	5172
444	4136	5159
445	4142	5145
446	4147	5130
447	4152	5117
448	4158	5102
449	4163	5088
450	4168	5074
451	4174	5060
452	4179	5047
453	4184	5032
454	4189	5018
455	4195	5004
456	4200	4990
457	4205	4976
458	4210	4963
459	4215	4949
460	4221	4936
461	4226	4922
462	4232	4908
463	4237	4894
464	4242	4881
465	4247	4867
466	4253	4854
467	4258	4840
468	4263	4827
469	4269	4814
470	4274	4800
471	4279	4787
472	4284	4774
473	4290	4760
474	4295	4747
475	4300	4734
476	4305	4720
477	4311	4707
478	4316	4694
479	4321	4681
480	4326	4668
481	4331	4655
482	4336	4642
483	4342	4629
484	4347	4616
485	4352	4603
486	4358	4590
487	4363	4577
488	4368	4564
489	4373	4552
490	4378	4539
491	4383	4526
492	4389	4513
493	4394	4500
494	4399	4488
495	4405	4476
496	4410	4463
497	4415	4451
498	4420	4438
499	4425	4425
500	4431	4413
501	4436	4401
502	4441	4388
503	4446	4376
504	4451	4363
505	4457	4351
506	4462	4339
507	4467	4327
508	4472	4314
509	4478	4302
510	4483	4290
511	4488	4278
512	4493	4266
513	4499	4254
514	4504	4242
515	4509	4230
516	4515	4218
517	4520	4205
518	4525	4193
519	4530	4181
520	4535	4170
521	4541	4158
522	4546	4146
523	4551	4134
524	4556	4122
525	4562	4111
526	4567	4099
527	4572	4087
528	4577	4075
529	4582	4064
530	4589	4053
531	4595	4042
532	4600	4030
533	4605	4019
534	4611	4007
535	4616	3996
536	4621	3984
537	4626	3973
538	4631	3961
539	4637	3950
540	4642	3938
541	4648	3927
542	4653	3916
543	4658	3904
544	4663	3893
545	4668	3882
546	4674	3871
547	4679	3859
548	4684	3848
549	4689	3837
550	4695	3826
551	4700	3814
552	4705	3803
553	4711	3792
554	4716	3781
555	4721	3770
556	4725	3758
557	4728	3745
558	4732	3733
559	4735	3720
560	4739	3708
561	4742	3696
562	4746	3683
563	4749	3671
564	4752	3659
565	4756	3647
566	4759	3634
567	4763	3622
568	4766	3610
569	4769	3598
570	4773	3586
571	4776	3574
572	4779	3562
573	4783	3550
574	4786	3538
575	4790	3526
576	4793	3514
577	4796	3502
578	4800	3490
579	4803	3478
580	4807	3466
581	4810	3454
582	4813	3443
583	4817	3431
584	4820	3419
585	4824	3408
586	4827	3396
587	4830	3384
588	4834	3373
589	4837	3361
590	4841	3350
591	4844	3338
592	4847	3327
593	4851	3315
594	4854	3304
595	4858	3293
596	4862	3282
597	4865	3270
598	4868	3259
599	4872	3248
600	4876	3237
601	4879	3226
602	4883	3214
603	4886	3203
604	4889	3192
605	4893	3181
606	4896	3170
607	4899	3159
608	4903	3148
609	4906	3137
610	4909	3125
