iter	RMSE
339	3264.843566
340	3261.552603
341	3259.61309
342	3257.901584
343	3250.072609
344	3247.10267
345	3244.844931
346	3241.643736
347	3240.134094
348	3238.644477
349	3234.965692
350	3230.813002
351	3228.99022
352	3224.156869
353	3220.430364
354	3218.461993
355	3216.540988
356	3211.818914
357	3207.071555
358	3204.375308
359	3199.722483
360	3198.55513
361	3196.883263
362	3195.345353
363	3189.435913
364	3187.34538
365	3185.496499
366	3182.890362
367	3181.315716
368	3176.27475
369	3174.751432
370	3170.50809
371	3167.903356
372	3166.251725
373	3164.860603
374	3159.846935
375	3158.587077
376	3156.227454
377	3154.415208
378	3153.25486
379	3151.529976
380	3150.090232
381	3147.520904
382	3146.276097
383	3144.932086
384	3142.347825
385	3140.999841
386	3139.707771
387	3135.323703
388	3133.109426
389	3131.607909
390	3128.413107
391	3125.087278
392	3123.789839
393	3120.591505
394	3118.231458
395	3116.977599
396	3112.506936
397	3111.029046
398	3106.826408
399	3105.537081
400	3103.987031
401	3100.763036
402	3096.513714
403	3095.201947
404	3090.102419
405	3085.57745
406	3082.216507
407	3081.007683
408	3078.502226
409	3077.09991
410	3075.872727
411	3069.725222
412	3065.773917
413	3063.649349
414	3060.480872
415	3055.269797
416	3052.713369
417	3051.629149
418	3049.029574
419	3047.566298
420	3044.773248
421	3040.373438
422	3039.269917
423	3035.09991
424	3033.936567
425	3032.688352
426	3031.533158
427	3029.748607
428	3028.489792
429	3026.189803
430	3024.136683
431	3021.721973
432	3020.58611
433	3019.222426
434	3017.840928
435	3016.644951
436	3012.578829
437	3011.477615
438	3006.564035
439	3005.399478
440	3004.122543
441	2998.901569
442	2997.780456
443	2996.604617
444	2994.066569
445	2990.896614
446	2988.106533
447	2983.063661
448	2981.989278
449	2979.98218
450	2978.230429
451	2977.206823
452	2974.337828
453	2971.48102
454	2970.471792
455	2969.207849
456	2964.978387
457	2961.17428
458	2960.101416
459	2957.745313
460	2956.689448
461	2953.998898
462	2951.676598
463	2950.708967
464	2949.735425
465	2946.532916
466	2941.367616
467	2940.035277
468	2939.241873
469	2938.317891
470	2933.401612
471	2932.101974
472	2931.195082
473	2930.299269
474	2925.520572
475	2924.261212
476	2923.288418
477	2918.97361
478	2918.06082
479	2917.280258
480	2915.174133
481	2911.589123
482	2910.843856
483	2908.537226
484	2904.303293
485	2903.464504
486	2902.639511
487	2901.787534
488	2899.865115
489	2896.447755
490	2894.266754
491	2892.997791
492	2892.19784
493	2890.317402
494	2889.529858
495	2887.8003
496	2886.594976
497	2885.773937
498	2883.272248
499	2882.224991
500	2879.233527
501	2876.999555
502	2875.395287
503	2874.657116
504	2872.640125
505	2871.421825
506	2866.236264
507	2862.880186
508	2862.124718
509	2861.378899
510	2860.608294
511	2858.881609
512	2854.436572
513	2853.264918
514	2851.146258
515	2846.756269
516	2846.022655
517	2845.160047
518	2842.626105
519	2841.373491
520	2840.645724
521	2836.65348
522	2835.906212
523	2834.746891
524	2830.316492
525	2826.268287
526	2825.481176
527	2824.773685
528	2822.977221
529	2822.253108
530	2820.548718
531	2819.863273
532	2818.950587
533	2817.974267
534	2815.738594
535	2815.057122
536	2810.823731
537	2810.140225
538	2805.947594
539	2801.134578
540	2798.632328
541	2797.989985
542	2796.986408
543	2796.319204
544	2795.658065
545	2794.552033
546	2793.877847
547	2792.807926
548	2790.13745
549	2785.386234
550	2783.944223
551	2782.214355
552	2780.675744
553	2780.036864
554	2776.42644
555	2771.769029
556	2771.142521
557	2769.057817
558	2768.134054
559	2766.078493
560	2762.304652
561	2760.597018
562	2757.076403
563	2752.893065
564	2750.992731
565	2749.937909
566	2749.321458
567	2748.759987
568	2746.907357
569	2745.871131
570	2743.307867
571	2739.317717
572	2735.316659
573	2731.938168
574	2730.482491
575	2729.382302
576	2726.256609
577	2725.24988
578	2724.466976
579	2723.454936
580	2721.932904
581	2718.109763
582	2717.240175
583	2715.175133
584	2713.704232
585	2712.642132
586	2711.569437
587	2709.302475
588	2707.518063
589	2706.201233
590	2705.182327
591	2704.34521
592	2701.90221
593	2699.304298
594	2698.154004
595	2695.77271
596	2694.752181
597	2694.036013
598	2693.247889
599	2692.26271
600	2690.754388
601	2689.048277
602	2686.262673
603	2685.030905
604	2684.21613
605	2683.287787
606	2682.399923
607	2680.486391
608	2679.887652
609	2675.485552
610	2673.617206
611	2670.03813
612	2668.585407
613	2667.751295
614	2666.945188
615	2666.063322
616	2662.737162
617	2661.75628
618	2659.581539
619	2656.59576
620	2656.007126
621	2655.427813
622	2653.231474
623	2652.058705
624	2647.855017
625	2647.11613
626	2646.307544
627	2645.636702
628	2644.461103
629	2642.742341
630	2640.933307
631	2640.191478
632	2638.694774
633	2636.416743
634	2633.000893
635	2631.473411
636	2630.156578
637	2629.321018
638	2627.825124
639	2626.04882
640	2625.093467
641	2624.510399
642	2622.483761
643	2620.904969
644	2620.359333
645	2619.825186
646	2619.074318
647	2618.524715
648	2616.675032
649	2614.855755
650	2611.979793
651	2611.422062
652	2609.486702
653	2608.856836
654	2607.878352
655	2605.691479
656	2604.882828
657	2604.336257
658	2603.816652
659	2601.465187
660	2600.032175
661	2598.047514
662	2597.133392
663	2596.537981
664	2595.843882
665	2595.29059
666	2594.141468
667	2593.402726
668	2589.871525
669	2585.657352
670	2584.749203
671	2584.119473
672	2582.206849
673	2578.922889
674	2578.044461
675	2576.515787
676	2575.712232
677	2573.935817
678	2571.991514
679	2571.440513
680	2569.973675
681	2569.23566
682	2567.21927
683	2566.14187
684	2565.644832
685	2564.232868
686	2562.246994
687	2561.407645
688	2559.37928
689	2554.921817
690	2554.237482
691	2551.331031
692	2550.493887
693	2549.10542
694	2546.302857
695	2545.678452
696	2544.242305
697	2544.05234
698	2542.480818
699	2540.811586
700	2539.803482
701	2538.038745
702	2537.316624
703	2534.681773
704	2534.138505
705	2530.451502
706	2528.923508
707	2526.22492
708	2524.649659
709	2523.272228
710	2520.186723
711	2517.219279
712	2515.762611
713	2514.234567
714	2512.24014
715	2510.871923
716	2507.418291
717	2506.532525
718	2505.005225
719	2503.061454
720	2502.101615
721	2501.36278
722	2499.756005
723	2497.872259
724	2496.087255
725	2492.889587
726	2491.911504
727	2491.770936
728	2490.933558
729	2490.181619
730	2489.335463
731	2487.522
732	2485.881265
733	2484.886533
734	2482.795438
735	2478.959984
736	2477.660469
737	2476.744314
738	2475.319884
739	2473.749404
740	2473.273371
741	2472.681493
742	2469.496467
743	2467.978105
744	2465.992835
745	2464.391963
746	2462.965211
747	2461.687591
748	2459.683792
749	2458.278515
750	2457.170787
751	2456.127632
752	2455.369876
753	2454.932329
754	2453.124738
755	2450.965391
756	2450.8282
757	2447.965857
758	2446.192902
759	2446.058739
760	2444.804218
761	2443.579896
762	2441.535284
763	2440.913183
764	2438.923701
765	2438.106405
766	2436.983756
767	2436.507659
768	2435.071544
769	2434.836316
770	2433.950126
771	2431.263201
772	2429.230479
773	2427.51011
774	2424.658777
775	2423.852304
776	2422.58614
777	2421.985275
778	2418.045877
779	2417.603222
780	2415.465289
781	2411.893657
782	2409.333387
783	2408.912846
784	2408.038307
785	2407.558248
786	2407.135435
787	2406.699041
788	2403.516391
789	2401.660781
790	2399.183244
791	2399.034614
792	2397.617192
793	2396.221976
794	2394.848507
795	2394.293782
796	2390.54541
797	2387.861863
798	2386.065073
799	2384.278303
800	2383.295935
801	2380.2855
802	2379.54971
803	2379.092065
804	2377.913411
805	2376.694122
806	2373.403156
807	2371.528474
808	2370.70813
809	2369.216678
810	2368.008558
811	2366.637119
812	2362.614278
813	2361.827475
814	2360.504125
815	2358.638915
816	2356.961145
817	2355.477239
818	2354.376179
819	2352.546972
820	2352.159717
821	2349.789338
822	2348.465276
823	2347.675989
824	2346.444564
825	2344.929787
826	2343.264968
827	2342.106329
828	2340.814088
829	2340.193932
830	2339.680633
831	2338.425349
832	2336.327881
833	2335.054551
834	2334.926584
835	2333.702753
836	2331.56327
837	2330.443548
838	2328.40206
839	2327.254764
840	2325.931218
841	2323.382912
842	2320.913622
843	2319.519088
844	2318.158795
845	2318.037363
846	2317.068864
847	2316.490123
848	2314.74792
849	2310.893064
850	2309.731988
851	2308.662496
852	2307.523704
853	2304.979232
854	2304.345951
855	2303.275361
856	2300.910388
857	2297.685533
858	2297.395221
859	2296.969702
860	2294.464371
861	2291.923461
862	2290.783888
863	2289.768971
864	2286.618395
865	2285.768307
866	2283.693619
867	2280.645408
868	2278.22467
869	2277.444035
870	2277.288027
871	2273.860466
872	2272.832284
873	2271.126389
874	2268.524185
875	2267.760842
876	2266.052853
877	2265.414665
878	2265.08477
879	2263.88325
880	2263.528307
881	2262.332592
882	2261.050324
883	2260.887754
884	2258.767652
885	2256.3341
886	2255.127402
887	2255.049484
888	2253.327224
889	2252.319634
890	2249.180971
891	2247.689522
892	2246.657758
893	2245.485309
894	2243.030012
895	2240.897077
896	2238.63877
897	2238.553193
898	2236.374791
899	2235.282241
900	2234.876542
901	2233.658836
902	2232.23546
903	2229.786915
904	2229.06643
905	2228.14912
906	2226.230327
907	2225.482401
908	2224.492222
909	2224.412423
910	2222.244008
911	2219.776832
912	2217.955176
913	2216.868622
914	2215.257859
915	2213.419518
916	2213.147921
917	2209.63519
918	2206.893255
919	2206.458049
920	2204.3691
921	2204.29199
922	2202.877984
923	2200.205517
924	2198.634925
925	2198.261502
926	2196.612656
927	2194.375223
928	2193.7376
929	2192.601338
930	2191.270636
931	2190.284498
932	2189.618616
933	2188.675584
934	2187.9553
935	2186.358317
936	2185.847005
937	2185.010093
938	2184.74525
939	2183.825661
940	2183.291215
941	2181.152947
942	2180.621748
943	2178.465332
944	2175.137691
945	2172.309277
946	2171.120069
947	2170.571748
948	2170.07172
949	2168.278953
950	2166.106141
951	2163.662651
952	2161.807375
953	2159.909446
954	2159.536133
955	2158.117546
956	2155.824765
957	2152.593888
958	2152.484773
959	2150.102658
960	2149.688966
961	2149.556054
962	2148.390465
963	2147.849331
964	2147.483884
965	2145.262643
966	2144.674623
967	2142.341145
968	2140.499345
969	2139.455926
970	2137.707603
971	2136.941511
972	2135.468672
973	2132.45486
974	2131.788771
975	2129.816066
976	2129.154424
977	2127.974153
978	2127.626663
979	2124.218557
980	2123.39434
981	2121.043842
982	2119.063469
983	2118.748822
984	2116.661178
985	2116.11458
986	2115.219294
987	2115.121223
988	2113.01374
989	2111.853308
990	2110.718387
991	2108.196297
992	2107.593884
993	2107.04891
994	2106.681373
995	2104.858219
996	2103.197154
997	2102.047374
998	2100.676213
999	2099.183147
